Smiles,pChEMBL Value
C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)c(C)nn12,4.68
COc1cc(CN2CCN(c3ccc(Cl)cc3)CC2)ccc1OCCF,4.68
Br.C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccccc2)C1,4.68
Fc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,4.68
Clc1ccc(N2CCN(Cc3cccn4nccc34)CC2)cc1,4.68
CCCNCCCCNC(=O)c1ccc(-c2ccccc2)cc1,4.68
CCCC[C@H](NC(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1C[C@@H](N)C[C@H]1C(N)=O,4.7
CC(=O)c1ccc(-c2nnc(SCCCN3CCOC(c4ccc(C(F)(F)F)cc4)C3)n2C)cc1,4.7
CC1(c2ccc(F)cc2)NC(=O)N(CC(O)CN2CCN(Cc3ccccc3)CC2)C1=O,4.7
COc1cccc(CCc2ccccc2OCCCN2CCN(c3ncccn3)CC2)c1,4.7
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,4.7
Cc1ccc(CNCC2(F)CCN(C(=O)c3csc4ccccc34)CC2)nc1,4.7
Cl.O=C1C(c2ccccc2)=COC12CCN(Cc1ccccc1)C2,4.7
NCCc1cccc(O)c1,4.7
COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccccc4F)n3C)CC2)CC1,4.71
COc1cc(F)ccc1N1CCC2(CCN(CCCSc3nnc(-c4ccccc4)n3C)CC2)CC1,4.71
c1ccc(CN2CCN(Cc3csc(-c4ccccc4)n3)CC2)cc1,4.71
CCc1cc(Cl)c(OC)c(N2CCN(C[C@@H](F)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,4.72
CCOCCOCc1ccc(N2CCN(CCCCNC(=O)c3ccccc3)CC2)c(OC)c1,4.72
COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,4.72
COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,4.72
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(F)cc4)CC3)cc2c1,4.72
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(F)cc4)CC3)cc2c1,4.72
c1ccc(C2=NC[C@@H](N3CCN(c4ccccc4)CC3)CCN2)cc1,4.72
CN1CCCN(C2=Nc3cccnc3Nc3ccc(Cl)cc32)CC1,4.72
Fc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,4.72
CN1CCc2cc(Cl)c(O)cc2[C@H]1c1ccccc1,4.72
